,school,cwur
1199,Hrvrd University,1
1200,Stnford University,2
1201,Msschusetts Institute of Technology,3
1202,University of Cmbridge,4
1203,University of Oxford,5
1204,Columbi University,6
1205,"University of Cliforni, Berkeley",7
1206,University of Chicgo,8
1207,Princeton University,9
1208,Cornell University,10
1209,Yle University,11
1210,Cliforni Institute of Technology,12
1211,University of Tokyo,13
1212,University of Pennsylvni,14
1213,"University of Cliforni, Los Angeles",15
1214,Johns Hopkins University,16
1215,Kyoto University,17
1216,New York University,18
1217,"University of Michign, Ann Arbor",19
1218,Swiss Federl Institute of Technology in Zurich,20
1219,"University of Cliforni, Sn Diego",21
1220,Northwestern University,22
1221,Hebrew University of Jeruslem,23
1222,Seoul Ntionl University,24
1223,University of Wisconsin-Mdison,25
1224,"University of Cliforni, Sn Frncisco",26
1225,University College London,27
1226,Duke University,28
1227,Rockefeller University,29
1228,University of Texs t Austin,30
1229,University of Wshington - Settle,31
1230,University of Toronto,32
1231,University of Illinois t Urbn-Chmpign,33
1232,Keio University,34
1233,Imperil College London,35
1234,École Polytechnique,36
1235,École normle supérieure - Pris,37
1236,Wsed University,38
1237,Weizmnn Institute of Science,39
1238,University of North Crolin t Chpel Hill,40
1239,University of Virgini,41
1240,McGill University,42
1241,"Purdue University, West Lfyette",43
1242,Drtmouth College,44
1243,Osk University,45
1244,University of Pittsburgh - Pittsburgh Cmpus,46
1245,"Pennsylvni Stte University, University Prk",47
1246,"University of Minnesot, Twin Cities",48
1247,"Ohio Stte University, Columbus",49
1248,Rutgers University-New Brunswick,50
1249,University of Southern Cliforni,51
1250,Wshington University in St. Louis,52
1251,"University of Cliforni, Dvis",53
1252,University of Colordo Boulder,54
1253,University of Edinburgh,55
1254,Peking University,56
1255,Ntionl Tiwn University,57
1256,University of Pris-Sud,58
1257,Lomonosov Moscow Stte University,59
1258,University of Florid,60
1259,Crnegie Mellon University,61
1260,University of British Columbi,62
1261,Pierre-nd-Mrie-Curie University,63
1262,"University of Cliforni, Snt Brbr",64
1263,Ntionl University of Singpore,65
1264,Boston University,66
1265,University of Mnchester,67
1266,University of Arizon,68
1267,Vnderbilt University,69
1268,University of Uth,70
1269,Krolinsk Institute,71
1270,"University of Mrylnd, College Prk",72
1271,Tohoku University,73
1272,University of Copenhgen,74
1273,University of Texs Southwestern Medicl Center,75
1274,Ruprecht Krl University of Heidelberg,76
1275,University of Notre Dme,77
1276,Tsinghu University,78
1277,Ludwig Mximilin University of Munich,79
1278,Georgi Institute of Technology,80
1279,University of Rochester,81
1280,Ktholieke Universiteit Leuven,82
1281,Brown University,83
1282,Emory University,84
1283,Ersmus University Rotterdm,85
1284,Tel Aviv University,86
1285,Utrecht University,87
1286,University of Sydney,88
1287,"University of Cliforni, Irvine",89
1288,University of Texs MD Anderson Cncer Center,90
1289,Swiss Federl Institute of Technology in Lusnne,91
1290,University of Genev,92
1291,University of Melbourne,93
1292,King's College London,94
1293,Tufts University,95
1294,University of Zurich,96
1295,Arizon Stte University,97
1296,Yonsei University,98
1297,University of Oslo,99
1298,Kyushu University,100
1299,Technicl University of Munich,101
1300,"Texs A&M University, College Sttion",102
1301,University of Queenslnd,103
1302,Mines PrisTech,104
1303,Cse Western Reserve University,105
1304,Indin University - Bloomington,106
1305,University of Albert,107
1306,Leiden University,108
1307,Tokyo Institute of Technology,109
1308,University of Groningen,110
1309,University of Helsinki,111
1310,Spienz University of Rome,112
1311,Georgetown University,113
1312,University of Amsterdm,114
1313,Kore University,115
1314,University of Brcelon,116
1315,Lund University,117
1316,Michign Stte University,118
1317,Ghent University,119
1318,Rice University,120
1319,Bylor College of Medicine,121
1320,Arhus University,122
1321,University of Bristol,123
1322,Uppsl University,124
1323,Ngoy University,125
1324,Royl Institute of Technology,126
1325,University of Colordo Denver,127
1326,University of Glsgow,128
1327,VU University Amsterdm,129
1328,University of New South Wles,130
1329,Pris Diderot University - Pris 7,131
1330,University of São Pulo,132
1331,Western University (The University of Western Ontrio),133
1332,Rdboud University Nijmegen,134
1333,Nnyng Technologicl University,135
1334,Technion - Isrel Institute of Technology,136
1335,University of Mimi,137
1336,Stony Brook University,138
1337,University of Texs t Dlls,139
1338,University of Nottinghm,140
1339,University of Iow,141
1340,Southern Methodist University,142
1341,Ichn School of Medicine t Mount Sini,143
1342,Kore Advnced Institute of Science nd Technology (KAIST),144
1343,Monsh University,145
1344,University of Albm t Birminghm,146
1345,Free University of Berlin,147
1346,University of Southmpton,148
1347,University of the Witwtersrnd,149
1348,McMster University,150
1349,University of Montrel,151
1350,University of Birminghm,152
1351,Humboldt University of Berlin,153
1352,"University of Cliforni, Snt Cruz",154
1353,Albert Ludwig University of Freiburg,155
1354,University of Tübingen,156
1355,University of Cincinnti,157
1356,University of Bonn,158
1357,Wke Forest University,159
1358,University of Bsel,160
1359,University of Leeds,161
1360,University of Hmburg,162
1361,Université libre de Bruxelles,163
1362,Indin University-Purdue University Indinpolis,164
1363,Pohng University of Science nd Technology,165
1364,Oregon Helth & Science University,166
1365,University of Clgry,167
1366,Stockholm University,168
1367,University of Pdu,169
1368,University of Hong Kong,170
1369,Yeshiv University,171
1370,University of Miln,172
1371,University of Sheffield,173
1372,Technicl University of Denmrk,174
1373,"University of Mrylnd, Bltimore",175
1374,Goethe University Frnkfurt,176
1375,University of Göttingen,177
1376,Hokkido University,178
1377,Austrlin Ntionl University,179
1378,Shnghi Jio Tong University,180
1379,University of New Mexico,181
1380,University of Strsbourg,182
1381,University of Msschusetts Medicl School,183
1382,University of Houston,184
1383,"Trinity College, Dublin",185
1384,University of Lusnne,186
1385,Iow Stte University,187
1386,Joseph Fourier University,188
1387,Wyne Stte University,189
1388,University of South Florid - Tmp,190
1389,Zhejing University,191
1390,Hnyng University,192
1391,University of Ottw,193
1392,"University of Missouri, Columbi",194
1393,Fudn University,195
1394,University of Knss,196
1395,University of Cologne,197
1396,University of Georgi,198
1397,University of Liverpool,199
1398,University of Bern,200
1399,Crdiff University,201
1400,George Wshington University,202
1401,University of Illinois t Chicgo,203
1402,University of Erlngen-Nuremberg,204
1403,University of Münster,205
1404,Aix-Mrseille University,206
1405,Clude Bernrd University Lyon 1,207
1406,University of Bologn,208
1407,Queen Mry University of London,209
1408,Dresden University of Technology,210
1409,Sungkyunkwn University,211
1410,Newcstle University,212
1411,Krlsruhe Institute of Technology,213
1412,"University of Cliforni, Riverside",214
1413,University of Kiel,215
1414,University of Western Austrli,216
1415,Pris Descrtes University,217
1416,University of Connecticut,218
1417,University of Msschusetts Amherst,219
1418,Chinese University of Hong Kong,220
1419,University of Turin,221
