,school,cwur,shanghai,times
0,HarvardUniversity,1.0,1,6
1,StanfordUniversity,2.0,2,3
2,MassachusettsInstituteofTechnology,3.0,,5
3,UniversityofCambridge,4.0,5,4
4,UniversityofOxford,5.0,10,2
5,ColumbiaUniversity,6.0,8,15
6,UniversityofCaliforniaBerkeley,7.0,4,13
7,UniversityofChicago,8.0,9,10
8,PrincetonUniversity,9.0,6,7
9,CornellUniversity,10.0,13,18
10,YaleUniversity,11.0,11,12
11,CaliforniaInstituteofTechnology,12.0,7,1
12,UniversityofTokyo,13.0,21,43
13,UniversityofPennsylvania,14.0,17,17
14,UniversityofCaliforniaLosAngeles,15.0,12,16
15,JohnsHopkinsUniversity,16.0,16,11
16,KyotoUniversity,17.0,26,88
17,NewYorkUniversity,18.0,27,30
18,UniversityofMichiganAnnArbor,19.0,22,
19,SwissFederalInstituteofTechnologyZurich,20.0,20,
20,UniversityofCaliforniaSanDiego,21.0,14,39
21,NorthwesternUniversity,22.0,27,25
22,HebrewUniversityofJerusalem,23.0,67,178
23,SeoulNationalUniversity,24.0,101-150,85
24,UniversityofWisconsinMadison,25.0,24,50
25,UniversityofCaliforniaSanFrancisco,26.0,18,
26,UniversityCollegeLondon,27.0,18,14
27,DukeUniversity,28.0,31,20
28,RockefellerUniversity,29.0,33,
29,UniversityofTexasatAustin,30.0,37,46
30,UniversityofWashingtonSeattle,31.0,,
31,UniversityofToronto,32.0,25,19
32,UniversityofIllinoisatUrbanaChampaign,33.0,29,36
33,KeioUniversity,34.0,301-400,501-600
34,ImperialCollegeLondon,35.0,,8
35,ÉcolePolytechnique,36.0,,101
36,ÉcolenormalesupérieureParis,37.0,,
37,WasedaUniversity,38.0,,601-800
38,WeizmannInstituteofScience,39.0,101-150,
39,UniversityofNorthCarolinaatChapelHill,40.0,39,63
40,UniversityofVirginia,41.0,101-150,147
41,McGillUniversity,42.0,64,38
42,PurdueUniversityWestLafayette,43.0,61,
43,DartmouthCollege,44.0,201-300,104
44,OsakaUniversity,45.0,85,251-300
45,UniversityofPittsburghPittsburghCampus,46.0,70,
46,PennsylvaniaStateUniversityUniversityPark,47.0,60,
47,UniversityofMinnesotaTwinCities,48.0,30,
48,OhioStateUniversityColumbus,49.0,67,
